"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"대화동172",1,대전광역시 대덕구 대오길 61,,36.36509627,127.41452310,,,042-120,대전광역시,2022-12-15
"대화동173",1,대전광역시 대덕구 동심5길 40,,36.36477957,127.41229300,,,042-120,대전광역시,2022-12-15
"대화동174",1,대전광역시 대덕구 동심5길 38,,36.36508596,127.41229460,,,042-120,대전광역시,2022-12-15
"대화동175",1,대전광역시 대덕구 동심7길 17,,36.36527190,127.41168500,,,042-120,대전광역시,2022-12-15
"대화동176",1,대전광역시 대덕구 동심7길 26,,36.36569924,127.41110780,,,042-120,대전광역시,2022-12-15
"대화동177",1,대전광역시 대덕구 생산5길 45,,36.36429586,127.41144360,,,042-120,대전광역시,2022-12-15
"대화동178",1,대전광역시 대덕구 동심1길 155,,36.36461829,127.41097730,,,042-120,대전광역시,2022-12-15
"대화동179",1,대전광역시 대덕구 동심1길 200,,36.36483446,127.41100970,,,042-120,대전광역시,2022-12-15
"대화동180",1,대전광역시 대덕구 동심1길 167,,36.36503090,127.41048920,,,042-120,대전광역시,2022-12-15
"대화동181",1,대전광역시 대덕구 생산5길 25,,36.36519413,127.41019150,,,042-120,대전광역시,2022-12-15
"대화동187",1,대전광역시 대덕구 생산5길 31,,36.36457626,127.41062050,,,042-120,대전광역시,2022-12-15
"대화동188",1,대전광역시 대덕구 생산5길 38,,36.36409098,127.41127320,,,042-120,대전광역시,2022-12-15
"대화동191",1,대전광역시 대덕구 생산5길 36,,36.36399084,127.41104530,,,042-120,대전광역시,2022-12-15
"대화동192",1,대전광역시 대덕구 대화로 242-102,,36.36418996,127.41079230,,,042-120,대전광역시,2022-12-15
"대화동196",1,대전광역시 대덕구 대화로 242-50,,36.36368871,127.41085210,,,042-120,대전광역시,2022-12-15
"대화동197",1,대전광역시 대덕구 대화로 242-40,,36.36355514,127.41090930,,,042-120,대전광역시,2022-12-15
"대화동201",1,대전광역시 대덕구 대화로 242-12,,36.36282553,127.41028600,,,042-120,대전광역시,2022-12-15
"대화동202",1,대전광역시 대덕구 대화로 242-6,,36.36303561,127.40999290,,,042-120,대전광역시,2022-12-15
"대화동203",1,대전광역시 대덕구 대화로 242-5,,36.36345024,127.40996390,,,042-120,대전광역시,2022-12-15
"대화동204",1,대전광역시 대덕구 대화로234번길 8,,36.36274575,127.40832010,,,042-120,대전광역시,2022-12-15
"대화동207",1,대전광역시 대덕구 대화로234번길 19-8,,36.36206326,127.40867310,,,042-120,대전광역시,2022-12-15
"대화동208",1,대전광역시 대덕구 대화로234번길 5-9,,36.36227937,127.40872320,,,042-120,대전광역시,2022-12-15
"대화동209",1,대전광역시 대덕구 생산5길 29,,36.36461264,127.41052270,,,042-120,대전광역시,2022-12-15
"대화동210",1,대전광역시 대덕구 동심5길 42,,36.36471399,127.41249320,,,042-120,대전광역시,2022-12-15
"대화동213",1,대전광역시 대덕구 늘봄3길 11,,36.36509413,127.41306120,,,042-120,대전광역시,2022-12-15
"대화동214",1,대전광역시 대덕구 늘봄3길 3,,36.36493907,127.41307820,,,042-120,대전광역시,2022-12-15
"대화동215",1,대전광역시 대덕구 대화11길 11,,36.36653507,127.41747690,,,042-120,대전광역시,2022-12-15
"대화동216",1,대전광역시 대덕구 늘봄3길 31-1,,36.36477296,127.41316200,,,042-120,대전광역시,2022-12-15
"대화동217",1,대전광역시 대덕구 늘봄3길 18,,36.36464934,127.41346890,,,042-120,대전광역시,2022-12-15
